title|description|rating|release_date|length_minutes|poster|amazon_link|where_to_watch|genres|keywords|imdb_id|cast_and_crew
Hell House LLC|Five years after an unexplained malfunction causes the death of 15 tour-goers and staff on the opening night of a Halloween haunted house tour, a documentary crew travels back to the scene of the tragedy to find out what really ha...|Not Rated|2016-11-01|93|https://m.media-amazon.com/images/M/MV5BNGZlMmE5MjctMjFhOC00Mjk4LTkwYTctODhiZjcyYmU3OTU3XkEyXkFqcGdeQXVyNTcwMzkyNDE@._V1_.jpg|||['Horror', 'Mystery']|['found footage', 'haunted house attraction', 'halloween', 'tv news', 'chained to a wall']|tt4267026|[{'first_name': 'Stephen', 'last_name': 'Cognetti', 'role': 'director'}, {'first_name': 'Gore', 'last_name': 'Abrams', 'role': 'cast'}, {'first_name': 'Alice', 'last_name': 'Bahlke', 'role': 'cast'}, {'first_name': 'Danny', 'last_name': 'Bellini', 'role': 'cast'}, {'first_name': 'Theodore', 'last_name': 'Bouloukos', 'role': 'cast'}, {'first_name': 'Natalie', 'last_name': 'Gee', 'role': 'cast'}, {'first_name': 'Jared', 'last_name': 'Hacker', 'role': 'cast'}, {'first_name': 'Phil', 'last_name': 'Hess', 'role': 'cast'}, {'first_name': 'Ryan Jennifer', 'last_name': 'Jones', 'role': 'cast'}, {'first_name': 'Lauren A.', 'last_name': 'Kennedy', 'role': 'cast'}, {'first_name': 'Jeb', 'last_name': 'Kreager', 'role': 'cast'}, {'first_name': 'Miranda', 'last_name': 'Robbins', 'role': 'cast'}, {'first_name': 'Adam', 'last_name': 'Schneider', 'role': 'cast'}, {'first_name': 'Kristin Michelle', 'last_name': 'Taylor', 'role': 'cast'}, {'first_name': 'Mason E.', 'last_name': 'Welch', 'role': 'cast'}]
Hell House LLC II: The Abaddon Hotel|It's been eight years since the opening night tragedy of Hell House, LLC and still many unanswered questions remain. Thanks to an anonymous tip, investigative journalist Jessica Fox is convinced that key evidence is hidden inside ...|Not Rated|2018-09-20|89|https://m.media-amazon.com/images/M/MV5BYTA2YmExODUtYzRlYi00ZDE4LThlZWYtNjY5YmYyMWFmZmRiXkEyXkFqcGdeQXVyMTE4NTYyNjM@._V1_.jpg|||['Horror', 'Mystery']|['pseudo documentary', 'found footage', 'sequel']|tt8707374|[{'first_name': 'Stephen', 'last_name': 'Cognetti', 'role': 'director'}, {'first_name': 'Vas', 'last_name': 'Eli', 'role': 'cast'}, {'first_name': 'Jillian', 'last_name': 'Geurts', 'role': 'cast'}, {'first_name': 'Joy', 'last_name': 'Shatz', 'role': 'cast'}, {'first_name': 'Dusty', 'last_name': 'Austen', 'role': 'cast'}, {'first_name': 'Brian David', 'last_name': 'Tracy', 'role': 'cast'}, {'first_name': 'Kyle', 'last_name': 'Ingleman', 'role': 'cast'}, {'first_name': 'Amanda K.', 'last_name': 'Morales', 'role': 'cast'}, {'first_name': 'Laura', 'last_name': 'Frenzer', 'role': 'cast'}, {'first_name': 'Danny', 'last_name': 'Bellini', 'role': 'cast'}, {'first_name': 'Tom', 'last_name': 'Sibley', 'role': 'cast'}, {'first_name': 'Lauren A.', 'last_name': 'Kennedy', 'role': 'cast'}, {'first_name': 'Adam', 'last_name': 'Schneider', 'role': 'cast'}, {'first_name': 'Alice', 'last_name': 'Bahlke', 'role': 'cast'}, {'first_name': 'Bailey', 'last_name': 'Moyer', 'role': 'cast'}, {'first_name': 'Sean', 'last_name': 'Hall', 'role': 'cast'}]
Hell House LLC III: Lake of Fire|The Abaddon Hotel will once again be open to the public. Russell Wynn has taken his audience-interactive show, Insomnia, into the abandoned hotel that is rumored to be haunted.|Not Rated|2020-01-03|85|https://m.media-amazon.com/images/M/MV5BYTIzNTBiOGQtNDI1OC00YTcyLThhOTQtNTk4OTQwZWUxMGUyXkEyXkFqcGdeQXVyMTE4NTYyNjM@._V1_.jpg|||['Horror', 'Mystery']|['haunted house attraction', 'halloween', 'abandoned hotel', 'hotel', 'fake documentary']|tt10675136|[{'first_name': 'Stephen', 'last_name': 'Cognetti', 'role': 'director'}, {'first_name': 'Gabriel', 'last_name': 'Chytry', 'role': 'cast'}, {'first_name': 'Elizabeth', 'last_name': 'Vermilyea', 'role': 'cast'}, {'first_name': 'Sam', 'last_name': 'Kazzi', 'role': 'cast'}, {'first_name': 'Theodore', 'last_name': 'Bouloukos', 'role': 'cast'}, {'first_name': 'Brian David', 'last_name': 'Tracy', 'role': 'cast'}, {'first_name': 'Bridgid', 'last_name': 'Abrams', 'role': 'cast'}, {'first_name': 'Leo', 'last_name': 'DeFriend', 'role': 'cast'}, {'first_name': 'Jordan', 'last_name': 'Kaplan', 'role': 'cast'}, {'first_name': 'Danny', 'last_name': 'Bellini', 'role': 'cast'}, {'first_name': 'Ryan Jennifer', 'last_name': 'Jones', 'role': 'cast'}, {'first_name': 'Gore', 'last_name': 'Abrams', 'role': 'cast'}, {'first_name': 'Jared', 'last_name': 'Hacker', 'role': 'cast'}, {'first_name': 'Joe', 'last_name': 'Bandelli', 'role': 'cast'}, {'first_name': 'Scott', 'last_name': 'Richey', 'role': 'cast'}, {'first_name': 'Olivia', 'last_name': 'Roldan', 'role': 'cast'}]
Hereditary|A grieving family is haunted by tragic and disturbing occurrences.|R|2018-06-08|127|https://m.media-amazon.com/images/M/MV5BOTU5MDg3OGItZWQ1Ny00ZGVmLTg2YTUtMzBkYzQ1YWIwZjlhXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_.jpg|||['Drama', 'Horror', 'Mystery']|['anaphylaxis', 'decapitation', 'miniature art', 'psychological horror', 'cult']|tt7784604|[{'first_name': 'Ari', 'last_name': 'Aster', 'role': 'director'}, {'first_name': 'Alex', 'last_name': 'Wolff', 'role': 'cast'}, {'first_name': 'Gabriel', 'last_name': 'Byrne', 'role': 'cast'}, {'first_name': 'Toni', 'last_name': 'Collette', 'role': 'cast'}, {'first_name': 'Milly', 'last_name': 'Shapiro', 'role': 'cast'}, {'first_name': 'Christy', 'last_name': 'Summerhays', 'role': 'cast'}, {'first_name': 'Morgan', 'last_name': 'Lund', 'role': 'cast'}, {'first_name': 'Mallory', 'last_name': 'Bechtel', 'role': 'cast'}, {'first_name': 'Jake', 'last_name': 'Brown', 'role': 'cast'}, {'first_name': 'Harrison', 'last_name': 'Nell', 'role': 'cast'}, {'first_name': 'BriAnn', 'last_name': 'Rachele', 'role': 'cast'}, {'first_name': 'Heidi', 'last_name': 'Méndez', 'role': 'cast'}, {'first_name': 'Moises L.', 'last_name': 'Tovar', 'role': 'cast'}, {'first_name': 'Jarrod', 'last_name': 'Phillips', 'role': 'cast'}, {'first_name': 'Ann', 'last_name': 'Dowd', 'role': 'cast'}, {'first_name': 'Brock', 'last_name': 'McKinney', 'role': 'cast'}]
The Hills Have Eyes|On the way to California, a family has the misfortune to have their car break down in an area closed to the public, and inhabited by violent savages ready to attack.|R|1977-07-22|90|https://m.media-amazon.com/images/M/MV5BYWM3ODgyZTMtZTVkMi00NTAxLTk0OWQtMzM3NzVkYzRlMTA1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg|||['Horror', 'Thriller']|['rape and revenge', 'gas station', 'desert', 'cannibal', 'grindhouse film']|tt0077681|[{'first_name': 'Wes', 'last_name': 'Craven', 'role': 'director'}, {'first_name': 'John', 'last_name': 'Steadman', 'role': 'cast'}, {'first_name': 'Janus', 'last_name': 'Blythe', 'role': 'cast'}, {'first_name': 'Peter', 'last_name': 'Locke', 'role': 'cast'}, {'first_name': 'Russ', 'last_name': 'Grieve', 'role': 'cast'}, {'first_name': 'Virginia', 'last_name': 'Vincent', 'role': 'cast'}, {'first_name': 'Susan', 'last_name': 'Lanier', 'role': 'cast'}, {'first_name': 'Dee', 'last_name': 'Wallace', 'role': 'cast'}, {'first_name': 'Brenda', 'last_name': 'Marinoff', 'role': 'cast'}, {'first_name': 'Robert', 'last_name': 'Houston', 'role': 'cast'}, {'first_name': 'Martin', 'last_name': 'Speer', 'role': 'cast'}, {'first_name': 'James', 'last_name': 'Whitworth', 'role': 'cast'}, {'first_name': 'Michael', 'last_name': 'Berryman', 'role': 'cast'}, {'first_name': 'Lance', 'last_name': 'Gordon', 'role': 'cast'}, {'first_name': 'Cordy', 'last_name': 'Clark', 'role': 'cast'}, {'first_name': '', 'last_name': 'Flora', 'role': 'cast'}]
The Hills Have Eyes|A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization.|R|2006-03-10|107|https://m.media-amazon.com/images/M/MV5BMzk0MTg5MzEyOF5BMl5BanBnXkFtZTcwNDUyMzIzMQ@@._V1_.jpg|||['Horror', 'Thriller']|['rape', 'graphic violence', 'bloody violence', 'rape and revenge', 'horror movie remake']|tt0454841|[{'first_name': 'Alexandre', 'last_name': 'Aja', 'role': 'director'}, {'first_name': 'Maxime', 'last_name': 'Giffard', 'role': 'cast'}, {'first_name': 'Michael Bailey', 'last_name': 'Smith', 'role': 'cast'}, {'first_name': 'Tom', 'last_name': 'Bower', 'role': 'cast'}, {'first_name': 'Ted', 'last_name': 'Levine', 'role': 'cast'}, {'first_name': 'Kathleen', 'last_name': 'Quinlan', 'role': 'cast'}, {'first_name': 'Dan', 'last_name': 'Byrd', 'role': 'cast'}, {'first_name': 'Emilie de', 'last_name': 'Ravin', 'role': 'cast'}, {'first_name': 'Aaron', 'last_name': 'Stanford', 'role': 'cast'}, {'first_name': 'Vinessa', 'last_name': 'Shaw', 'role': 'cast'}, {'first_name': 'Maisie Camilleri', 'last_name': 'Preziosi', 'role': 'cast'}, {'first_name': 'Robert', 'last_name': 'Joy', 'role': 'cast'}, {'first_name': 'Laura', 'last_name': 'Ortiz', 'role': 'cast'}, {'first_name': 'Ezra', 'last_name': 'Buzzington', 'role': 'cast'}, {'first_name': 'Billy', 'last_name': 'Drago', 'role': 'cast'}, {'first_name': 'Greg', 'last_name': 'Nicotero', 'role': 'cast'}]
Hocus Pocus|A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.|PG|1993-07-16|96|https://m.media-amazon.com/images/M/MV5BNWM3NmRhMGMtOGE4ZC00MDk0LWI1NjMtMjVlNTEwOTcwZTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg|||['Comedy', 'Family', 'Fantasy']|['year 1993', 'halloween', 'year 1693', '17th century', 'spell']|tt0107120|[{'first_name': 'Kenny', 'last_name': 'Ortega', 'role': 'director'}, {'first_name': 'Bette', 'last_name': 'Midler', 'role': 'cast'}, {'first_name': 'Sarah Jessica', 'last_name': 'Parker', 'role': 'cast'}, {'first_name': 'Kathy', 'last_name': 'Najimy', 'role': 'cast'}, {'first_name': 'Omri', 'last_name': 'Katz', 'role': 'cast'}, {'first_name': 'Thora', 'last_name': 'Birch', 'role': 'cast'}, {'first_name': 'Vinessa', 'last_name': 'Shaw', 'role': 'cast'}, {'first_name': 'Amanda', 'last_name': 'Shepherd', 'role': 'cast'}, {'first_name': 'Larry', 'last_name': 'Bagby', 'role': 'cast'}, {'first_name': 'Tobias', 'last_name': 'Jelinek', 'role': 'cast'}, {'first_name': 'Stephanie', 'last_name': 'Faracy', 'role': 'cast'}, {'first_name': 'Charles', 'last_name': 'Rocket', 'role': 'cast'}, {'first_name': 'Doug', 'last_name': 'Jones', 'role': 'cast'}, {'first_name': 'Karyn', 'last_name': 'Malchus', 'role': 'cast'}, {'first_name': 'Sean', 'last_name': 'Murray', 'role': 'cast'}, {'first_name': 'Steve', 'last_name': 'Voboril', 'role': 'cast'}]
House of Wax|A group of teens are unwittingly stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.|R|2005-05-06|113|https://m.media-amazon.com/images/M/MV5BNDA4Nzg1NjQ2NV5BMl5BanBnXkFtZTcwMDYwNTgyMQ@@._V1_.jpg|||['Horror', 'Thriller']|['wax', 'brother sister relationship', 'group of friends', 'masked killer', 'beaten to death']|tt0397065|"[{'first_name': 'Jaume', 'last_name': 'Collet-Serra', 'role': 'director'}, {'first_name': 'Elisha', 'last_name': 'Cuthbert', 'role': 'cast'}, {'first_name': 'Chad Michael', 'last_name': 'Murray', 'role': 'cast'}, {'first_name': 'Brian Van', 'last_name': 'Holt', 'role': 'cast'}, {'first_name': 'Paris', 'last_name': 'Hilton', 'role': 'cast'}, {'first_name': 'Jared', 'last_name': 'Padalecki', 'role': 'cast'}, {'first_name': 'Jon', 'last_name': 'Abrahams', 'role': 'cast'}, {'first_name': 'Robert', 'last_name': ""Ri'chard"", 'role': 'cast'}, {'first_name': 'Dragicia', 'last_name': 'Debert', 'role': 'cast'}, {'first_name': 'Thomas', 'last_name': 'Adamson', 'role': 'cast'}, {'first_name': 'Murray', 'last_name': 'Smith', 'role': 'cast'}, {'first_name': 'Sam', 'last_name': 'Harkess', 'role': 'cast'}, {'first_name': 'Damon', 'last_name': 'Herriman', 'role': 'cast'}, {'first_name': 'Andy', 'last_name': 'Anderson', 'role': 'cast'}]"
House on Haunted Hill|A millionaire offers $10,000 to five people who agree to be locked in a large, spooky, rented house overnight with him and his wife.|Not Rated|1959-02-17|75|https://m.media-amazon.com/images/M/MV5BMmM4YzQxMmYtYTRjMy00MWFjLWFmY2YtZDBiYmI5ZjVlMWQxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg|||['Crime', 'Horror', 'Mystery']|['haunted mansion', 'haunted house', 'acid', 'overnight in a haunted house', 'breaking the fourth wall']|tt0051744|[{'first_name': 'William', 'last_name': 'Castle', 'role': 'director'}, {'first_name': 'Vincent', 'last_name': 'Price', 'role': 'cast'}, {'first_name': 'Carol', 'last_name': 'Ohmart', 'role': 'cast'}, {'first_name': 'Richard', 'last_name': 'Long', 'role': 'cast'}, {'first_name': 'Alan', 'last_name': 'Marshal', 'role': 'cast'}, {'first_name': 'Carolyn', 'last_name': 'Craig', 'role': 'cast'}, {'first_name': 'Elisha Cook', 'last_name': 'Jr.', 'role': 'cast'}, {'first_name': 'Julie', 'last_name': 'Mitchum', 'role': 'cast'}, {'first_name': 'Leona', 'last_name': 'Anderson', 'role': 'cast'}, {'first_name': 'Howard', 'last_name': 'Hoffman', 'role': 'cast'}, {'first_name': '', 'last_name': 'Skeleton', 'role': 'cast'}]
House on Haunted Hill|An amusement park mogul offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.|R|1999-10-29|93|https://m.media-amazon.com/images/M/MV5BNzUwYWQzZDQtMDQ0Mi00NjFlLTgzNjAtNTFhZmZhNWY4NGEzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg|||['Horror', 'Mystery', 'Thriller']|['haunted hospital', 'characters killed one by one', 'haunted house', 'strapped to a bed', 'breasts']|tt0185371|[{'first_name': 'William', 'last_name': 'Malone', 'role': 'director'}, {'first_name': 'Geoffrey', 'last_name': 'Rush', 'role': 'cast'}, {'first_name': 'Famke', 'last_name': 'Janssen', 'role': 'cast'}, {'first_name': 'Taye', 'last_name': 'Diggs', 'role': 'cast'}, {'first_name': 'Peter', 'last_name': 'Gallagher', 'role': 'cast'}, {'first_name': 'Chris', 'last_name': 'Kattan', 'role': 'cast'}, {'first_name': 'Ali', 'last_name': 'Larter', 'role': 'cast'}, {'first_name': 'Bridgette', 'last_name': 'Wilson-Sampras', 'role': 'cast'}, {'first_name': 'Max', 'last_name': 'Perlich', 'role': 'cast'}, {'first_name': 'Jeffrey', 'last_name': 'Combs', 'role': 'cast'}, {'first_name': 'Dick', 'last_name': 'Beebe', 'role': 'cast'}, {'first_name': 'Slavitza', 'last_name': 'Jovan', 'role': 'cast'}, {'first_name': 'Lisa', 'last_name': 'Loeb', 'role': 'cast'}, {'first_name': 'James', 'last_name': 'Marsters', 'role': 'cast'}, {'first_name': 'Jeannette', 'last_name': 'Lewis', 'role': 'cast'}, {'first_name': 'Janet Tracy', 'last_name': 'Keijser', 'role': 'cast'}]
The Houses October Built|Five friends are stalked by a group of mysterious and disturbed individuals while on a road trip looking for the ultimate haunted house attraction.|Not Rated|2014-10-10|91|https://m.media-amazon.com/images/M/MV5BNTc1NTg5NTk1Ml5BMl5BanBnXkFtZTgwNjM3NzY3MjE@._V1_.jpg|||['Horror', 'Thriller']|['road trip', 'haunted house', 'haunted house attraction', 'halloween', 'low budget film']|tt1958043|[{'first_name': 'Bobby', 'last_name': 'Roe', 'role': 'director'}, {'first_name': 'Brandy', 'last_name': 'Schaefer', 'role': 'cast'}, {'first_name': 'Zack', 'last_name': 'Andrews', 'role': 'cast'}, {'first_name': 'Bobby', 'last_name': 'Roe', 'role': 'cast'}, {'first_name': 'Mikey', 'last_name': 'Roe', 'role': 'cast'}, {'first_name': 'Jeff', 'last_name': 'Larson', 'role': 'cast'}, {'first_name': 'Tansy', 'last_name': 'Alexander', 'role': 'cast'}, {'first_name': 'Bob', 'last_name': 'Ballou', 'role': 'cast'}, {'first_name': 'Robert', 'last_name': 'Benjamin', 'role': 'cast'}, {'first_name': 'Kahl', 'last_name': 'Brice', 'role': 'cast'}, {'first_name': 'Laura', 'last_name': 'Buono', 'role': 'cast'}, {'first_name': 'Bart', 'last_name': 'Butler', 'role': 'cast'}, {'first_name': 'Amber', 'last_name': 'Campisi', 'role': 'cast'}, {'first_name': 'Chloë', 'last_name': 'Crampton', 'role': 'cast'}, {'first_name': 'Donald', 'last_name': 'Dantzler', 'role': 'cast'}, {'first_name': 'Josephine', 'last_name': 'Duran', 'role': 'cast'}]
The Houses October Built 2|Recovering from the trauma of being kidnapped last Halloween by the Blue Skeleton, five friends head back out to visit more haunted house attractions. But when signs of the Blue Skeleton start appearing again a new terror begins.|Unrated|2017-09-22|101|https://m.media-amazon.com/images/M/MV5BMTg3NDY2NDQ0M15BMl5BanBnXkFtZTgwMjUxMDUzMzI@._V1_.jpg|||['Horror']|['haunted house attraction', 'blonde', 'clown', 'backwoods slasher', 'haunted hayride']|tt7068818|[{'first_name': 'Bobby', 'last_name': 'Roe', 'role': 'director'}, {'first_name': 'Brandy', 'last_name': 'Schaefer', 'role': 'cast'}, {'first_name': 'Zack', 'last_name': 'Andrews', 'role': 'cast'}, {'first_name': 'Mikey', 'last_name': 'Roe', 'role': 'cast'}, {'first_name': 'Bobby', 'last_name': 'Roe', 'role': 'cast'}, {'first_name': 'Jeff', 'last_name': 'Larson', 'role': 'cast'}, {'first_name': 'Bob', 'last_name': 'Ballou', 'role': 'cast'}, {'first_name': 'Kate', 'last_name': 'Biddle', 'role': 'cast'}, {'first_name': 'Tamara', 'last_name': 'Chambers', 'role': 'cast'}, {'first_name': 'Wade', 'last_name': 'Clark', 'role': 'cast'}, {'first_name': '', 'last_name': 'Clicks', 'role': 'cast'}, {'first_name': 'Landon', 'last_name': 'Colby', 'role': 'cast'}, {'first_name': 'Tyson', 'last_name': 'Colby', 'role': 'cast'}, {'first_name': 'Lucas', 'last_name': 'Godfrey', 'role': 'cast'}, {'first_name': 'Andrea', 'last_name': 'Hays', 'role': 'cast'}, {'first_name': 'Adam', 'last_name': 'Heatherly', 'role': 'cast'}]
Host|Six friends hire a medium to hold a seance via Zoom during lockdown, but they get far more than they bargained for as things quickly go wrong.|Not Rated|2020-07-30|57|https://m.media-amazon.com/images/M/MV5BMDNiMDk1OWItNmU1NS00MTc5LTk2ZTQtNDE3ZTdiMTg0MzQwXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_.jpg|||['Horror', 'Mystery']|['paranormal entity', 'computer screen', 'fear', 'found footage', 'quarantine']|tt12749596|[{'first_name': 'Rob', 'last_name': 'Savage', 'role': 'director'}, {'first_name': 'Haley', 'last_name': 'Bishop', 'role': 'cast'}, {'first_name': 'Jemma', 'last_name': 'Moore', 'role': 'cast'}, {'first_name': 'Emma Louise', 'last_name': 'Webb', 'role': 'cast'}, {'first_name': 'Radina', 'last_name': 'Drandova', 'role': 'cast'}, {'first_name': 'Caroline', 'last_name': 'Ward', 'role': 'cast'}, {'first_name': 'Alan', 'last_name': 'Emrys', 'role': 'cast'}, {'first_name': 'Patrick', 'last_name': 'Ward', 'role': 'cast'}, {'first_name': 'Teddy', 'last_name': 'Linard', 'role': 'cast'}, {'first_name': 'Jinny', 'last_name': 'Lofthouse', 'role': 'cast'}, {'first_name': 'Seylan', 'last_name': 'Baxter', 'role': 'cast'}, {'first_name': 'Jack', 'last_name': 'Brydon', 'role': 'cast'}, {'first_name': 'James', 'last_name': 'Swanton', 'role': 'cast'}]
Hush|A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.|R|2016-04-08|82|https://m.media-amazon.com/images/M/MV5BOWQ4OTdlODQtMDc3Yy00MGVmLWExYjUtOGI0Yjg4MDQzNDNhXkEyXkFqcGdeQXVyNjIzMzkyMzk@._V1_.jpg|||['Horror', 'Thriller']|['home invasion', 'masked killer', 'writer', 'female protagonist', 'masked intruder']|tt5022702|[{'first_name': 'Mike', 'last_name': 'Flanagan', 'role': 'director'}, {'first_name': 'John Gallagher', 'last_name': 'Jr.', 'role': 'cast'}, {'first_name': 'Kate', 'last_name': 'Siegel', 'role': 'cast'}, {'first_name': 'Michael', 'last_name': 'Trucco', 'role': 'cast'}, {'first_name': 'Samantha', 'last_name': 'Sloyan', 'role': 'cast'}, {'first_name': 'Emma', 'last_name': 'Graves', 'role': 'cast'}]
Insidious: The Red Door|The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.|PG-13|2023-07-07|107|https://m.media-amazon.com/images/M/MV5BOTQyNGY5ZGQtN2E1MC00ZDhkLWJiYWMtMTFjODAwMDFmZDRhXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_.jpg|||['Horror', 'Mystery', 'Thriller']|['haunting', 'ghost', 'insidious', 'sequel', 'fifth part']|tt13405778|[{'first_name': 'Patrick', 'last_name': 'Wilson', 'role': 'director'}, {'first_name': 'Ty', 'last_name': 'Simpkins', 'role': 'cast'}, {'first_name': 'Patrick', 'last_name': 'Wilson', 'role': 'cast'}, {'first_name': 'Rose', 'last_name': 'Byrne', 'role': 'cast'}, {'first_name': 'Sinclair', 'last_name': 'Daniel', 'role': 'cast'}, {'first_name': 'Hiam', 'last_name': 'Abbass', 'role': 'cast'}, {'first_name': 'Andrew', 'last_name': 'Astor', 'role': 'cast'}, {'first_name': 'Juliana', 'last_name': 'Davies', 'role': 'cast'}, {'first_name': 'Steve', 'last_name': 'Coulter', 'role': 'cast'}, {'first_name': 'Peter', 'last_name': 'Dager', 'role': 'cast'}, {'first_name': 'Justin', 'last_name': 'Sturgis', 'role': 'cast'}, {'first_name': 'Joseph', 'last_name': 'Bishara', 'role': 'cast'}, {'first_name': 'David', 'last_name': 'Call', 'role': 'cast'}, {'first_name': 'Stephen', 'last_name': 'Gray', 'role': 'cast'}, {'first_name': 'Robin S.', 'last_name': 'Walker', 'role': 'cast'}, {'first_name': 'Leigh', 'last_name': 'Whannell', 'role': 'cast'}]
Insidious: Chapter 2|The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.|PG-13|2013-09-13|106|https://m.media-amazon.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_.jpg|||['Horror', 'Mystery', 'Thriller']|['police detective', 'barricading a door', 'injection in leg', 'taser', 'attacked with a knife']|tt2226417|[{'first_name': 'James', 'last_name': 'Wan', 'role': 'director'}, {'first_name': 'Patrick', 'last_name': 'Wilson', 'role': 'cast'}, {'first_name': 'Rose', 'last_name': 'Byrne', 'role': 'cast'}, {'first_name': 'Barbara', 'last_name': 'Hershey', 'role': 'cast'}, {'first_name': 'Lin', 'last_name': 'Shaye', 'role': 'cast'}, {'first_name': 'Ty', 'last_name': 'Simpkins', 'role': 'cast'}, {'first_name': 'Steve', 'last_name': 'Coulter', 'role': 'cast'}, {'first_name': 'Leigh', 'last_name': 'Whannell', 'role': 'cast'}, {'first_name': 'Angus', 'last_name': 'Sampson', 'role': 'cast'}, {'first_name': 'Andrew', 'last_name': 'Astor', 'role': 'cast'}, {'first_name': 'Hank', 'last_name': 'Harris', 'role': 'cast'}, {'first_name': 'Jocelin', 'last_name': 'Donahue', 'role': 'cast'}, {'first_name': 'Lindsay', 'last_name': 'Seim', 'role': 'cast'}, {'first_name': 'Danielle', 'last_name': 'Bisutti', 'role': 'cast'}, {'first_name': 'Tyler', 'last_name': 'Griffin', 'role': 'cast'}, {'first_name': 'Garrett', 'last_name': 'Ryan', 'role': 'cast'}]
Insidious: Chapter 3|A prequel set before the haunting of the Lambert family that reveals how gifted psychic Elise Rainier reluctantly agrees to use her ability to contact the dead in order to help a teenage girl who has been targeted by a dangerous s...|PG-13|2015-06-05|97|https://m.media-amazon.com/images/M/MV5BMTUwNDU4NjE1N15BMl5BanBnXkFtZTgwOTc0MzA5NDE@._V1_.jpg|||['Horror', 'Mystery', 'Thriller']|['directorial debut', 'attic', 'house', 'evil spirit', 'astral projection']|tt3195644|[{'first_name': 'Leigh', 'last_name': 'Whannell', 'role': 'director'}, {'first_name': 'Dermot', 'last_name': 'Mulroney', 'role': 'cast'}, {'first_name': 'Stefanie', 'last_name': 'Scott', 'role': 'cast'}, {'first_name': 'Angus', 'last_name': 'Sampson', 'role': 'cast'}, {'first_name': 'Leigh', 'last_name': 'Whannell', 'role': 'cast'}, {'first_name': 'Lin', 'last_name': 'Shaye', 'role': 'cast'}, {'first_name': 'Tate', 'last_name': 'Berney', 'role': 'cast'}, {'first_name': 'Michael Reid', 'last_name': 'MacKay', 'role': 'cast'}, {'first_name': 'Steve', 'last_name': 'Coulter', 'role': 'cast'}, {'first_name': 'Hayley', 'last_name': 'Kiyoko', 'role': 'cast'}, {'first_name': 'Corbett', 'last_name': 'Tuck', 'role': 'cast'}, {'first_name': 'Tom', 'last_name': 'Fitzpatrick', 'role': 'cast'}, {'first_name': 'Tom', 'last_name': 'Gallop', 'role': 'cast'}, {'first_name': 'Jeris', 'last_name': 'Poindexter', 'role': 'cast'}, {'first_name': 'Ele', 'last_name': 'Keats', 'role': 'cast'}, {'first_name': 'Phyllis', 'last_name': 'Applegate', 'role': 'cast'}]
Invasion of the Body Snatchers|When strange seeds drift to earth from space, mysterious pods begin to grow and invade San Francisco, replicating the city's residents one body at a time.|PG|1978-12-22|115|https://m.media-amazon.com/images/M/MV5BMTkzY2Y3ZTMtYTg4Yy00OTNjLTlkNjctMGVlZDMwZWIxMzA0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg|||['Horror', 'Sci-Fi']|['female nudity', 'city', 'urban setting', 'sleep', 'psychiatrist']|tt0077745|[{'first_name': 'Philip', 'last_name': 'Kaufman', 'role': 'director'}, {'first_name': 'Donald', 'last_name': 'Sutherland', 'role': 'cast'}, {'first_name': 'Brooke', 'last_name': 'Adams', 'role': 'cast'}, {'first_name': 'Jeff', 'last_name': 'Goldblum', 'role': 'cast'}, {'first_name': 'Veronica', 'last_name': 'Cartwright', 'role': 'cast'}, {'first_name': 'Leonard', 'last_name': 'Nimoy', 'role': 'cast'}, {'first_name': 'Art', 'last_name': 'Hindle', 'role': 'cast'}, {'first_name': 'Lelia', 'last_name': 'Goldoni', 'role': 'cast'}, {'first_name': 'Kevin', 'last_name': 'McCarthy', 'role': 'cast'}, {'first_name': 'Don', 'last_name': 'Siegel', 'role': 'cast'}, {'first_name': 'Tom', 'last_name': 'Luddy', 'role': 'cast'}, {'first_name': 'Stan', 'last_name': 'Ritchie', 'role': 'cast'}, {'first_name': 'David', 'last_name': 'Fisher', 'role': 'cast'}, {'first_name': 'Tom', 'last_name': 'Dahlgren', 'role': 'cast'}, {'first_name': 'Garry', 'last_name': 'Goodrow', 'role': 'cast'}, {'first_name': 'Jerry', 'last_name': 'Walter', 'role': 'cast'}]
